Type;Folder;File;Error
Video;Sebastien;20231122_182500.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20240124_190400.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20240203_175800.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20240206_090000.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20240207_190200.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20240217_141300.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20240218_081700.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20240222_173300.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20240224_095300.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20240229_180800.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20240229_180900.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20240304_194000.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20240308_174700.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20240312_190500.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20240329_162700.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20240428_170400.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20240530_161000.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20240601_165800.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20240613_165500.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20240629_180400.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20250119_115752.mp4;[WinError 2] The system cannot find the file specified
Picture;Sebastien;20250215_122437 (Photos).jpg;cannot unpack non-iterable bool object
